Date,Time,Tide Height(m)
01/01/2019,00:51:00,1.1
01/01/2019,06:56:00,1.5
01/01/2019,12:16:00,1.0
01/01/2019,19:04:00,2.1
02/01/2019,02:05:00,0.9
02/01/2019,08:29:00,1.5
02/01/2019,13:01:00,1.1
02/01/2019,19:31:00,2.2
03/01/2019,03:00:00,0.7
03/01/2019,09:34:00,1.5
03/01/2019,13:42:00,1.1
03/01/2019,20:00:00,2.3
04/01/2019,03:46:00,0.5
04/01/2019,10:21:00,1.5
04/01/2019,14:18:00,1.2
04/01/2019,20:30:00,2.4
05/01/2019,04:27:00,0.4
05/01/2019,10:59:00,1.5
05/01/2019,14:53:00,1.2
05/01/2019,21:03:00,2.5
06/01/2019,05:05:00,0.3
06/01/2019,11:34:00,1.5
06/01/2019,15:27:00,1.2
06/01/2019,21:36:00,2.5
07/01/2019,05:41:00,0.3
07/01/2019,12:08:00,1.5
07/01/2019,16:01:00,1.2
07/01/2019,22:10:00,2.5
08/01/2019,06:14:00,0.3
08/01/2019,12:42:00,1.5
08/01/2019,16:36:00,1.2
08/01/2019,22:43:00,2.5
09/01/2019,06:44:00,0.4
09/01/2019,13:14:00,1.5
09/01/2019,17:12:00,1.2
09/01/2019,23:17:00,2.4
10/01/2019,07:13:00,0.4
10/01/2019,13:46:00,1.5
10/01/2019,17:50:00,1.2
10/01/2019,23:51:00,2.3
11/01/2019,07:40:00,0.5
11/01/2019,14:19:00,1.5
11/01/2019,18:33:00,1.3
12/01/2019,00:27:00,2.2
12/01/2019,08:10:00,0.6
12/01/2019,14:59:00,1.5
12/01/2019,19:28:00,1.3
13/01/2019,01:06:00,2.0
13/01/2019,08:44:00,0.7
13/01/2019,15:44:00,1.6
13/01/2019,20:52:00,1.3
14/01/2019,01:54:00,1.8
14/01/2019,09:21:00,0.8
14/01/2019,16:33:00,1.7
14/01/2019,22:25:00,1.3
15/01/2019,03:06:00,1.6
15/01/2019,10:04:00,0.9
15/01/2019,17:18:00,1.8
15/01/2019,23:54:00,1.1
16/01/2019,05:02:00,1.4
16/01/2019,10:52:00,1.0
16/01/2019,17:58:00,2.0
17/01/2019,01:16:00,0.9
17/01/2019,06:57:00,1.4
17/01/2019,11:45:00,1.1
17/01/2019,18:37:00,2.1
18/01/2019,02:15:00,0.6
18/01/2019,08:25:00,1.4
18/01/2019,12:41:00,1.1
18/01/2019,19:18:00,2.3
19/01/2019,03:07:00,0.4
19/01/2019,09:32:00,1.4
19/01/2019,13:36:00,1.1
19/01/2019,20:02:00,2.5
20/01/2019,03:55:00,0.2
20/01/2019,10:25:00,1.5
20/01/2019,14:29:00,1.1
20/01/2019,20:47:00,2.7
21/01/2019,04:43:00,0.1
21/01/2019,11:12:00,1.5
21/01/2019,15:20:00,1.1
21/01/2019,21:34:00,2.7
22/01/2019,05:29:00,0.0
22/01/2019,11:56:00,1.6
22/01/2019,16:09:00,1.0
22/01/2019,22:23:00,2.7
23/01/2019,06:13:00,0.0
23/01/2019,12:38:00,1.6
23/01/2019,16:59:00,1.0
23/01/2019,23:12:00,2.7
24/01/2019,06:56:00,0.1
24/01/2019,13:20:00,1.6
24/01/2019,17:50:00,1.0
25/01/2019,00:02:00,2.5
25/01/2019,07:38:00,0.2
25/01/2019,14:03:00,1.7
25/01/2019,18:45:00,1.0
26/01/2019,00:53:00,2.3
26/01/2019,08:18:00,0.4
26/01/2019,14:49:00,1.7
26/01/2019,19:51:00,1.1
27/01/2019,01:47:00,2.0
27/01/2019,08:59:00,0.6
27/01/2019,15:38:00,1.8
27/01/2019,21:19:00,1.1
28/01/2019,03:02:00,1.7
28/01/2019,09:42:00,0.8
28/01/2019,16:32:00,1.8
28/01/2019,22:50:00,1.1
29/01/2019,05:05:00,1.4
29/01/2019,10:27:00,1.0
29/01/2019,17:27:00,1.9
30/01/2019,00:39:00,0.9
30/01/2019,07:21:00,1.3
30/01/2019,11:19:00,1.1
30/01/2019,18:15:00,2.0
31/01/2019,02:09:00,0.7
31/01/2019,08:57:00,1.3
31/01/2019,12:17:00,1.2
31/01/2019,18:57:00,2.1
01/02/2019,03:00:00,0.6
01/02/2019,09:48:00,1.4
01/02/2019,13:11:00,1.2
01/02/2019,19:35:00,2.2
02/02/2019,03:40:00,0.4
02/02/2019,10:20:00,1.4
02/02/2019,13:57:00,1.2
02/02/2019,20:12:00,2.3
03/02/2019,04:16:00,0.4
03/02/2019,10:47:00,1.4
03/02/2019,14:38:00,1.2
03/02/2019,20:49:00,2.4
04/02/2019,04:49:00,0.3
04/02/2019,11:12:00,1.5
04/02/2019,15:17:00,1.1
04/02/2019,21:25:00,2.4
05/02/2019,05:21:00,0.3
05/02/2019,11:38:00,1.5
05/02/2019,15:54:00,1.1
05/02/2019,22:01:00,2.4
06/02/2019,05:49:00,0.3
06/02/2019,12:02:00,1.5
06/02/2019,16:31:00,1.0
06/02/2019,22:35:00,2.4
07/02/2019,06:13:00,0.4
07/02/2019,12:20:00,1.5
07/02/2019,17:09:00,1.0
07/02/2019,23:10:00,2.3
08/02/2019,06:34:00,0.5
08/02/2019,12:38:00,1.6
08/02/2019,17:48:00,1.0
08/02/2019,23:45:00,2.2
09/02/2019,06:55:00,0.5
09/02/2019,13:00:00,1.6
09/02/2019,18:30:00,1.0
10/02/2019,00:21:00,2.1
10/02/2019,07:19:00,0.6
10/02/2019,13:27:00,1.7
10/02/2019,19:19:00,1.0
11/02/2019,01:00:00,1.9
11/02/2019,07:46:00,0.7
11/02/2019,13:59:00,1.7
11/02/2019,20:21:00,1.0
12/02/2019,01:45:00,1.7
12/02/2019,08:15:00,0.9
12/02/2019,14:39:00,1.8
12/02/2019,21:41:00,1.0
13/02/2019,02:55:00,1.5
13/02/2019,08:47:00,1.0
13/02/2019,15:35:00,1.8
13/02/2019,23:06:00,0.9
14/02/2019,04:58:00,1.3
14/02/2019,09:29:00,1.1
14/02/2019,16:42:00,2.0
15/02/2019,00:39:00,0.7
15/02/2019,07:24:00,1.3
15/02/2019,10:38:00,1.2
15/02/2019,17:48:00,2.1
16/02/2019,01:53:00,0.5
16/02/2019,08:45:00,1.4
16/02/2019,12:09:00,1.2
16/02/2019,18:50:00,2.3
17/02/2019,02:50:00,0.3
17/02/2019,09:34:00,1.4
17/02/2019,13:24:00,1.2
17/02/2019,19:47:00,2.4
18/02/2019,03:39:00,0.1
18/02/2019,10:13:00,1.5
18/02/2019,14:25:00,1.1
18/02/2019,20:41:00,2.6
19/02/2019,04:25:00,0.0
19/02/2019,10:50:00,1.6
19/02/2019,15:19:00,0.9
19/02/2019,21:33:00,2.6
20/02/2019,05:08:00,0.0
20/02/2019,11:24:00,1.7
20/02/2019,16:10:00,0.8
20/02/2019,22:25:00,2.6
21/02/2019,05:48:00,0.1
21/02/2019,11:58:00,1.7
21/02/2019,16:59:00,0.8
21/02/2019,23:16:00,2.5
22/02/2019,06:25:00,0.2
22/02/2019,12:29:00,1.8
22/02/2019,17:49:00,0.7
23/02/2019,00:06:00,2.3
23/02/2019,06:59:00,0.4
23/02/2019,12:59:00,1.9
23/02/2019,18:42:00,0.7
24/02/2019,00:56:00,2.1
24/02/2019,07:31:00,0.6
24/02/2019,13:30:00,1.9
24/02/2019,19:42:00,0.8
25/02/2019,01:51:00,1.8
25/02/2019,08:01:00,0.8
25/02/2019,14:05:00,1.9
25/02/2019,20:55:00,0.9
26/02/2019,03:10:00,1.5
26/02/2019,08:29:00,1.0
26/02/2019,14:48:00,1.9
26/02/2019,22:17:00,0.9
27/02/2019,05:06:00,1.3
27/02/2019,08:59:00,1.2
27/02/2019,15:48:00,1.9
28/02/2019,00:07:00,0.8
28/02/2019,08:08:00,1.3
28/02/2019,09:41:00,1.3
28/02/2019,17:10:00,1.9
01/03/2019,01:48:00,0.7
01/03/2019,09:16:00,1.4
01/03/2019,11:36:00,1.4
01/03/2019,18:19:00,2.0
02/03/2019,02:39:00,0.6
02/03/2019,09:44:00,1.4
02/03/2019,12:59:00,1.3
02/03/2019,19:12:00,2.1
03/03/2019,03:16:00,0.5
03/03/2019,10:02:00,1.5
03/03/2019,13:53:00,1.2
03/03/2019,19:56:00,2.2
04/03/2019,03:49:00,0.4
04/03/2019,10:19:00,1.5
04/03/2019,14:37:00,1.1
04/03/2019,20:37:00,2.2
05/03/2019,04:19:00,0.4
05/03/2019,10:38:00,1.6
05/03/2019,15:15:00,1.0
05/03/2019,21:15:00,2.3
06/03/2019,04:46:00,0.4
06/03/2019,10:56:00,1.6
06/03/2019,15:52:00,0.9
06/03/2019,21:52:00,2.3
07/03/2019,05:10:00,0.4
07/03/2019,11:11:00,1.7
07/03/2019,16:28:00,0.8
07/03/2019,22:29:00,2.3
08/03/2019,05:30:00,0.5
08/03/2019,11:24:00,1.7
08/03/2019,17:05:00,0.8
08/03/2019,23:05:00,2.2
09/03/2019,05:48:00,0.6
09/03/2019,11:41:00,1.8
09/03/2019,17:43:00,0.7
09/03/2019,23:43:00,2.1
10/03/2019,06:09:00,0.6
10/03/2019,12:02:00,1.9
10/03/2019,18:24:00,0.7
11/03/2019,00:22:00,2.0
11/03/2019,06:33:00,0.7
11/03/2019,12:26:00,1.9
11/03/2019,19:11:00,0.7
12/03/2019,01:04:00,1.8
12/03/2019,06:59:00,0.9
12/03/2019,12:53:00,2.0
12/03/2019,20:07:00,0.7
13/03/2019,01:59:00,1.6
13/03/2019,07:26:00,1.0
13/03/2019,13:26:00,2.0
13/03/2019,21:19:00,0.7
14/03/2019,03:29:00,1.4
14/03/2019,07:53:00,1.1
14/03/2019,14:12:00,2.0
14/03/2019,22:39:00,0.7
15/03/2019,05:40:00,1.3
15/03/2019,08:28:00,1.3
15/03/2019,15:25:00,2.0
16/03/2019,00:06:00,0.6
16/03/2019,08:00:00,1.4
16/03/2019,09:52:00,1.4
16/03/2019,17:11:00,2.1
17/03/2019,01:24:00,0.4
17/03/2019,08:46:00,1.5
17/03/2019,12:11:00,1.3
17/03/2019,18:33:00,2.2
18/03/2019,02:23:00,0.3
18/03/2019,09:17:00,1.6
18/03/2019,13:27:00,1.2
18/03/2019,19:39:00,2.4
19/03/2019,03:12:00,0.2
19/03/2019,09:46:00,1.7
19/03/2019,14:27:00,1.0
19/03/2019,20:37:00,2.5
20/03/2019,03:55:00,0.1
20/03/2019,10:14:00,1.8
20/03/2019,15:20:00,0.8
20/03/2019,21:32:00,2.5
21/03/2019,04:35:00,0.2
21/03/2019,10:39:00,1.9
21/03/2019,16:10:00,0.7
21/03/2019,22:26:00,2.4
22/03/2019,05:11:00,0.3
22/03/2019,11:03:00,2.0
22/03/2019,16:59:00,0.5
22/03/2019,23:19:00,2.3
23/03/2019,05:43:00,0.5
23/03/2019,11:29:00,2.1
23/03/2019,17:48:00,0.5
24/03/2019,00:11:00,2.1
24/03/2019,06:12:00,0.6
24/03/2019,11:58:00,2.1
24/03/2019,18:39:00,0.5
25/03/2019,01:04:00,1.9
